time,channel_idx
44343.0,164
44344.8,229
44345.0,150
44345.3,182
44345.3,195
44346.1,45
44346.1,54
44346.1,71
44349.3,71
44349.4,54
44349.5,45
44349.9,65
44350.1,81
44350.3,100
44350.5,125
44351.4,71
44352.1,54
44354.3,1
44357.3,45
44357.3,54
44361.1,89
44361.4,52
44363.700000000004,52
44368.9,164
44370.0,100
44373.8,100
44419.1,195
44657.200000000004,7
44865.4,107
44913.0,229
44939.5,214
45025.0,54
45157.0,150
45157.5,100
45158.200000000004,7
45158.9,93
45158.9,125
45159.3,150
45160.200000000004,89
45160.200000000004,182
45160.200000000004,195
45160.8,100
45160.8,193
45161.0,71
45161.1,93
45161.1,189
45161.3,103
45161.4,150
45161.5,92
45161.700000000004,65
45161.8,125
45161.8,171
45161.9,87
45162.0,78
45162.3,182
45162.5,175
45162.9,164
45163.0,193
45163.1,86
45163.200000000004,71
45163.3,54
45163.4,97
45163.4,195
45163.5,100
45163.6,150
45164.0,65
45164.0,125
45164.1,107
45164.200000000004,84
45164.6,87
45164.6,189
45165.1,1
45165.3,93
45165.5,195
45166.1,54
45166.200000000004,100
45166.4,83
45166.6,65
45166.6,86
45166.700000000004,97
45166.700000000004,171
45167.3,71
45167.5,1
45168.0,195
45168.1,87
45168.3,45
45168.3,49
45168.3,54
45168.700000000004,150
45168.9,65
45168.9,230
45169.3,107
45169.3,125
45169.5,86
45169.6,71
45169.6,83
45169.8,56
45169.9,1
45170.0,240
45170.3,195
45170.4,54
45170.5,100
45170.8,52
45171.0,87
45171.0,239
45171.1,45
45171.200000000004,49
45171.200000000004,230
45171.700000000004,125
45171.700000000004,229
45172.0,1
45172.0,71
45172.3,65
45172.3,89
45172.4,182
45172.4,193
45172.4,195
45172.4,240
45172.700000000004,54
45172.700000000004,100
45172.8,46
45172.8,84
45173.3,52
45173.4,230
45173.5,103
45173.6,45
45173.700000000004,97
45173.8,8
45173.9,4
45174.0,150
45174.1,229
45174.200000000004,1
45174.200000000004,220
45174.3,239
45174.4,87
45174.6,202
45174.700000000004,175
45174.700000000004,193
45174.8,240
45174.9,100
45174.9,195
45175.1,107
45175.200000000004,171
45175.200000000004,182
45175.4,86
45175.5,89
45176.0,54
45176.1,7
45176.1,93
45176.200000000004,8
45176.3,150
45176.6,87
45176.8,1
45177.0,92
45177.0,193
45177.1,65
45177.200000000004,195
45177.200000000004,239
45177.4,189
45177.5,86
45177.5,100
45177.5,107
45177.5,220
45177.5,240
45177.700000000004,45
45178.0,182
45178.1,89
45178.200000000004,54
45178.200000000004,71
45178.3,125
45178.3,188
45178.6,171
45178.6,185
45178.8,87
45178.9,59
45178.9,164
45179.0,197
45179.1,93
45179.1,193
45179.200000000004,83
45179.4,103
45179.4,229
45179.6,195
45179.700000000004,49
45179.700000000004,65
45179.700000000004,240
45179.9,98
45179.9,189
45180.0,86
45180.1,100
45180.200000000004,150
45180.3,107
45180.4,45
45180.4,46
45180.4,54
45181.1,87
45181.200000000004,125
45181.200000000004,193
45181.4,42
45181.4,71
45181.5,97
45181.5,171
45181.6,230
45181.700000000004,52
45181.8,65
45181.8,186
45181.8,195
45181.9,78
45182.1,182
45182.200000000004,1
45182.3,100
45182.4,150
45182.5,54
45182.700000000004,89
45182.8,45
45183.1,240
45183.700000000004,97
45183.8,71
45183.8,84
45183.8,87
45183.9,125
45183.9,220
45183.9,229
45184.1,195
45184.200000000004,41
45184.4,186
45184.4,189
45184.5,65
45184.700000000004,1
45184.700000000004,7
45184.8,171
45185.0,182
45185.1,89
45185.3,45
45185.3,54
45185.5,46
45185.6,150
45185.700000000004,240
45185.9,71
45185.9,202
45186.5,220
45186.9,1
45186.9,86
45187.0,193
45187.200000000004,65
45187.200000000004,195
45187.4,229
45187.6,125
45187.6,182
45187.9,87
45188.0,100
45188.1,54
45188.3,71
45188.6,97
45188.6,185
45188.8,240
45189.1,86
45189.6,65
45189.8,182
45189.8,195
45190.0,87
45190.1,83
45190.4,54
45191.4,71
45191.5,45
45192.3,86
45193.0,54
45193.0,186
45193.200000000004,195
45193.3,150
45194.700000000004,100
45195.700000000004,45
45195.8,54
45196.3,103
45196.9,195
45198.1,45
45198.4,182
45201.700000000004,195
45203.700000000004,54
45208.4,202
45237.700000000004,84
45481.3,156
45679.9,7
45685.4,93
45890.8,229
46044.8,7
46124.200000000004,229
46125.6,195
46126.1,150
46126.5,240
46126.8,230
46127.0,229
46127.3,1
46127.6,171
46127.9,195
46130.4,195
46130.6,150
46131.0,171
46131.200000000004,189
46132.9,195
46133.6,175
46133.700000000004,182
46134.700000000004,240
46134.8,202
46135.3,189
46135.6,195
46136.9,240
46137.1,171
46138.1,195
46138.1,229
46138.700000000004,1
46139.200000000004,4
46139.200000000004,189
46139.9,45
46140.9,195
46141.8,226
46142.5,240
46142.8,239
46147.0,45
46147.1,54
46149.0,220
46187.3,175
46544.200000000004,229
46544.8,7
46545.9,1
46550.5,240
46551.0,1
46552.3,228
46558.4,182
46561.700000000004,188
46565.0,195
46567.5,164
46575.4,228
46588.200000000004,93
46747.8,87
46750.8,100
46751.9,93
46752.0,87
46752.0,107
46752.4,45
46752.4,97
46752.700000000004,89
46752.8,54
46753.5,71
46755.8,100
46757.9,1
46759.3,54
46759.9,7
46759.9,93
46761.1,46
46762.200000000004,54
46763.9,229
46765.6,240
46768.4,193
46769.5,100
46771.8,97
46772.5,150
46773.200000000004,195
46773.6,89
46773.700000000004,164
46774.6,150
46774.700000000004,1
46776.0,197
46777.0,195
46777.1,125
46778.9,65
46779.0,71
46780.700000000004,195
46781.0,65
46781.6,71
46782.0,45
46782.0,54
46783.5,65
46784.1,71
46784.200000000004,45
46784.200000000004,54
46786.9,41
46786.9,54
46789.1,195
46789.700000000004,193
46789.9,84
46790.200000000004,182
46790.5,100
46791.700000000004,195
46792.8,100
46793.1,107
46793.3,97
46793.8,1
46794.9,240
46795.1,41
46795.1,46
46795.3,195
46796.0,87
46796.1,1
46796.1,6
46796.3,230
46796.6,4
46797.6,240
46798.9,7
46799.1,1
46799.3,230
46799.5,229
46801.5,52
46802.0,229
46802.4,230
46803.1,182
46805.1,1
46806.1,195
46806.200000000004,182
46806.3,193
46812.4,195
46812.8,220
46839.0,240
47283.1,229
47284.4,126
47337.0,7
47354.200000000004,195
47356.3,229
47358.4,189
47358.4,229
47358.6,220
47359.5,1
47361.9,175
47362.200000000004,195
47362.5,220
47366.5,195
47369.0,195
47371.3,195
47389.4,195
47405.6,195
47406.8,150
47407.1,171
47408.1,195
47408.5,189
47408.8,219
47409.200000000004,171
47409.4,168
47410.1,150
47410.4,186
47410.4,229
47411.0,195
47412.0,240
47412.1,125
47412.8,186
47413.0,230
47413.3,150
47413.6,195
47413.700000000004,189
47413.8,193
47413.9,182
47414.0,229
47414.200000000004,100
47414.200000000004,171
47414.5,188
47414.6,107
47414.6,125
47414.700000000004,239
47414.8,220
47414.9,97
47415.1,202
47415.3,175
47415.4,230
47415.700000000004,219
47415.8,195
47415.9,150
47415.9,193
47415.9,240
47416.0,182
47416.1,229
47416.200000000004,54
47416.4,45
47416.4,171
47416.6,100
47416.700000000004,107
47417.3,8
47417.6,189
47418.0,42
47418.0,195
47418.1,182
47418.200000000004,1
47418.200000000004,220
47418.4,229
47418.5,54
47418.5,186
47418.700000000004,45
47418.8,107
47418.8,240
47418.9,150
47419.1,100
47419.200000000004,171
47419.200000000004,193
